zip,latitude,longitude,city,stateCode,state,county,country,countryCodeIso2,countryCodeIso3,type
35217,33.60815,-86.76034,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35218,33.5078,-86.89385,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35221,33.44953,-86.89902,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35222,33.52409,-86.77025,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35223,33.4869,-86.7375,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35224,33.51938,-86.94447,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35226,33.39851,-86.84435,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35228,33.45621,-86.92103,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35229,33.46558,-86.7891,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35233,33.50876,-86.80194,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35234,33.5408,-86.80286,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35235,33.62409,-86.64834,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35242,33.42521,-86.67144,Birmingham,AL,Alabama,Shelby,United State Of America,US,USA,Location
35243,33.44278,-86.73994,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35244,33.35372,-86.82548,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35254,33.51616,-86.85744,Birmingham,AL,Alabama,Jefferson,United State Of America,US,USA,Location
35401,33.16878,-87.61357,Tuscaloosa,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35404,33.21667,-87.48608,Tuscaloosa,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35405,33.1158,-87.54288,Tuscaloosa,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35406,33.33412,-87.47043,Tuscaloosa,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35441,32.85374,-87.73861,Akron,AL,Alabama,Hale,United State Of America,US,USA,Location
35442,33.07371,-88.19359,Aliceville,AL,Alabama,Pickens,United State Of America,US,USA,Location
35443,32.75294,-88.01125,Boligee,AL,Alabama,Greene,United State Of America,US,USA,Location
35444,33.33696,-87.30325,Brookwood,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35446,33.21618,-87.74714,Buhl,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35447,33.25669,-88.15448,Carrollton,AL,Alabama,Pickens,United State Of America,US,USA,Location
35452,33.28173,-87.68366,Coker,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35453,33.1642,-87.38809,Cottondale,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35456,33.05553,-87.42714,Duncanville,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35457,33.29618,-87.7737,Echola,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35458,33.36693,-87.79135,Elrod,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35459,32.79859,-88.30287,Emelle,AL,Alabama,Sumter,United State Of America,US,USA,Location
35460,32.70902,-88.15033,Epes,AL,Alabama,Sumter,United State Of America,US,USA,Location
35461,33.41546,-88.2142,Ethelsville,AL,Alabama,Pickens,United State Of America,US,USA,Location
35462,32.93442,-87.95285,Eutaw,AL,Alabama,Greene,United State Of America,US,USA,Location
35463,33.069,-87.68755,Fosters,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35464,32.80329,-88.15355,Gainesville,AL,Alabama,Sumter,United State Of America,US,USA,Location
35466,33.25825,-87.91413,Gordo,AL,Alabama,Pickens,United State Of America,US,USA,Location
35469,32.96994,-87.77204,Knoxville,AL,Alabama,Greene,United State Of America,US,USA,Location
35470,32.55682,-88.10364,Livingston,AL,Alabama,Sumter,United State Of America,US,USA,Location
35473,33.27234,-87.58246,Northport,AL,Alabama,Tuscaloosa,United State Of America,US,USA,Location
35474,32.93785,-87.57215,Moundville,AL,Alabama,Hale,United State Of America,US,USA,Location
